MontoCredito;IngresoNeto;CoefCreditoAvaluo;MontoCuota;GradoAcademico;BuenPagador
12244;1;12;Bajo;Bachiller;
287668;1;12;Bajo;Licenciatura;
112932;1;12;Bajo;Licenciatura;
133662;2;11;Medio;Licenciatura;
10665;2;7;Medio;Licenciatura;
93814;2;11;Medio;Bachiller;
134833;1;11;Alto;Bachiller;
36535;2;12;Bajo;Licenciatura;
46086;1;12;MuyBajo;Licenciatura;
152139;2;8;MuyBajo;Licenciatura;
117648;2;8;MuyBajo;Licenciatura;
32537;1;10;Bajo;Bachiller;
101195;1;4;MuyBajo;Licenciatura;
109055;2;4;MuyBajo;Licenciatura;
228974;2;4;MuyBajo;Bachiller;
210912;2;4;MuyBajo;Bachiller;
153925;1;4;Medio;Licenciatura;
251540;1;4;Medio;Licenciatura;
247773;1;12;MuyBajo;Bachiller;
224064;1;12;MuyBajo;Licenciatura;
222169;1;12;MuyBajo;Licenciatura;
106285;1;4;MuyBajo;Licenciatura;
110906;2;4;MuyBajo;Licenciatura;
45390;2;1;Bajo;Bachiller;
37257;1;1;MuyBajo;Bachiller;
42770;1;1;MuyBajo;Bachiller;
18452;1;1;MuyBajo;Bachiller;
10340;1;1;MuyBajo;Bachiller;
49233;2;1;MuyBajo;Bachiller;
18057;2;1;Medio;Bachiller;
141838;2;1;Medio;Bachiller;
123022;1;1;MuyBajo;Bachiller;
31032;2;1;MuyBajo;Bachiller;
80427;1;1;MuyBajo;Bachiller;
80694;1;1;Bajo;Bachiller;
129101;2;1;MuyBajo;Bachiller;
28916;1;12;Bajo;Licenciatura;
17605;1;12;Bajo;Licenciatura;
44374;1;12;MuyBajo;Licenciatura;
22037;2;12;MuyBajo;Bachiller;
11579;2;12;MuyBajo;Bachiller;
15920;2;12;MuyBajo;Bachiller;
46197;1;12;Bajo;Bachiller;
39484;1;12;MuyBajo;Bachiller;
40231;1;4;MuyBajo;Bachiller;
11922;1;4;MuyBajo;Bachiller;
17387;2;4;MuyBajo;Licenciatura;
44684;2;4;MuyBajo;Licenciatura;
17010;1;2;MuyBajo;Licenciatura;
13230;1;12;MuyBajo;Bachiller;
18455;1;10;MuyBajo;Bachiller;
71321;1;11;MuyBajo;Bachiller;
42455;2;12;MuyBajo;Licenciatura;
18727;1;12;MuyBajo;Licenciatura;
13064;1;11;MuyBajo;Licenciatura;
16513;2;12;MuyBajo;Licenciatura;
10362;2;11;Medio;Licenciatura;
14502;1;12;Medio;Bachiller;
47181;2;12;MuyBajo;Bachiller;
10108;2;12;MuyBajo;Bachiller;
23812;2;12;MuyBajo;Bachiller;
16049;1;12;MuyBajo;Bachiller;
143650;2;12;MuyBajo;Bachiller;
95628;2;11;MuyBajo;Licenciatura;
14439;1;11;MuyBajo;Licenciatura;
23230;1;12;MuyBajo;Licenciatura;
14327;1;11;Bajo;Bachiller;
10065;2;12;Bajo;Bachiller;
48540;2;12;Bajo;Bachiller;
14036;2;4;Bajo;Licenciatura;
13442;2;11;MuyBajo;Licenciatura;
40734;2;5;MuyBajo;Licenciatura;
15467;1;11;MuyBajo;Licenciatura;
17483;1;12;MuyBajo;Bachiller;
14814;1;12;MuyBajo;Bachiller;
12344;1;12;MuyBajo;Bachiller;
19560;1;12;Medio;Bachiller;
35278;2;12;Medio;Bachiller;
47367;2;12;MuyBajo;Licenciatura;
26197;2;12;MuyBajo;Licenciatura;
36906;1;12;MuyBajo;Licenciatura;
17004;1;12;MuyBajo;Bachiller;
14097;1;12;MuyBajo;Bachiller;
23856;2;12;MuyBajo;Bachiller;
16241;1;12;MuyBajo;Bachiller;
13280;1;12;Medio;Bachiller;
37666;1;12;Medio;Bachiller;
24981;1;12;Medio;Bachiller;
27015;2;11;Bajo;Licenciatura;
10624;2;11;Bajo;Licenciatura;
10096;2;11;Bajo;Licenciatura;
18765;1;11;Bajo;Bachiller;
123149;1;11;Bajo;Bachiller;
14565;2;12;MuyBajo;Bachiller;
17859;1;12;MuyBajo;Licenciatura;
41941;1;12;MuyBajo;Licenciatura;
29396;2;11;MuyBajo;Licenciatura;
13707;2;11;Bajo;Licenciatura;
239460;1;11;Bajo;Licenciatura;
10783;2;3;Bajo;Licenciatura;
